country,region,ewaste_mill_kg,ewaste_kg_capita,collected_recycled_mill_kg,national_policy,epr,collection_target,recycling_target,country_short,income,policy_level
Georgia,Asia,34,8.9,NA,TRUE,TRUE,TRUE,FALSE,Georgia,middle,3
Germany,Europe,1767,21.2,956.6,TRUE,TRUE,TRUE,TRUE,Germany,high,4
Ghana,Africa,72,2.2,NA,TRUE,TRUE,FALSE,FALSE,Ghana,middle,2
Greece,Europe,194,18.6,58.6,TRUE,TRUE,TRUE,TRUE,Greece,high,4
Grenada,Americas,1,10.4,NA,FALSE,FALSE,FALSE,FALSE,Grenada,middle,0
Guatemala,Americas,92,5.2,1.1,FALSE,FALSE,FALSE,FALSE,Guatemala,middle,0
Guinea,Africa,14,1,NA,FALSE,FALSE,FALSE,FALSE,Guinea,middle,0
Guinea-Bissau,Africa,1,0.6,NA,FALSE,FALSE,FALSE,FALSE,Guinea-Bissau,low,0
Guyana,Americas,7,8.1,NA,FALSE,FALSE,FALSE,FALSE,Guyana,high,0
Haiti,Americas,12,1.1,NA,FALSE,FALSE,FALSE,FALSE,Haiti,middle,0
Honduras,Americas,36,3.5,0.1,FALSE,FALSE,FALSE,FALSE,Honduras,middle,0
Hungary,Europe,138,14.3,90.4,TRUE,TRUE,TRUE,TRUE,Hungary,high,4
Iceland,Europe,8,22.4,4.8,TRUE,TRUE,TRUE,TRUE,Iceland,high,4
India,Asia,4137,2.9,59.6,TRUE,TRUE,TRUE,FALSE,India,middle,3
Indonesia,Asia,1886,6.9,NA,FALSE,FALSE,FALSE,FALSE,Indonesia,middle,0
Iran,Asia,817,9.3,NA,TRUE,FALSE,FALSE,FALSE,Iran,middle,1
Iraq,Asia,267,6.1,NA,FALSE,FALSE,FALSE,FALSE,Iraq,middle,0
Ireland,Europe,103,20.6,67.4,TRUE,TRUE,TRUE,TRUE,Ireland,high,4
Israel,Asia,148,16.5,72.4,TRUE,TRUE,FALSE,FALSE,Israel,high,2
Italy,Europe,1124,19,461.6,TRUE,TRUE,TRUE,TRUE,Italy,high,4
Jamaica,Americas,21,7.4,0.1,FALSE,FALSE,FALSE,FALSE,Jamaica,middle,0
Japan,Asia,2638,21.2,613.4,TRUE,FALSE,FALSE,TRUE,Japan,high,2
Jordan,Asia,69,6.1,1.6,TRUE,FALSE,FALSE,FALSE,Jordan,middle,1
Kazakhstan,Asia,196,10.2,12.4,TRUE,TRUE,TRUE,FALSE,Kazakhstan,middle,3
Kenya,Africa,88,1.6,NA,FALSE,FALSE,FALSE,FALSE,Kenya,middle,0
Kiribati,Oceania,0,1.3,NA,FALSE,FALSE,FALSE,FALSE,Kiribati,middle,0
Kuwait,Asia,71,16.7,NA,FALSE,FALSE,FALSE,FALSE,Kuwait,high,0
Kyrgyzstan,Asia,14,2.2,NA,FALSE,FALSE,FALSE,FALSE,Kyrgyzstan,middle,0
Laos,Asia,27,3.6,NA,FALSE,FALSE,FALSE,FALSE,Laos,middle,0
Latvia,Europe,22,11.9,11.6,TRUE,TRUE,TRUE,TRUE,Latvia,high,4
Lebanon,Asia,60,10.7,0.1,FALSE,FALSE,FALSE,FALSE,Lebanon,middle,0
Lesotho,Africa,3,1.3,NA,FALSE,FALSE,FALSE,FALSE,Lesotho,middle,0
Liberia,Africa,3,0.6,NA,FALSE,FALSE,FALSE,FALSE,Liberia,low,0
Libya,Africa,94,13.8,NA,FALSE,FALSE,FALSE,FALSE,Libya,middle,0
Lithuania,Europe,37,13.4,16.7,TRUE,TRUE,TRUE,TRUE,Lithuania,high,4
Luxembourg,Europe,13,20.9,6.8,TRUE,TRUE,TRUE,TRUE,Luxembourg,high,4
Madagascar,Africa,19,0.6,NA,TRUE,FALSE,FALSE,FALSE,Madagascar,low,1
Malawi,Africa,11,0.5,NA,FALSE,FALSE,FALSE,FALSE,Malawi,low,0
Malaysia,Asia,411,12.2,NA,TRUE,FALSE,FALSE,FALSE,Malaysia,middle,1
Maldives,Asia,5,10,NA,FALSE,FALSE,FALSE,FALSE,Maldives,middle,0
Mali,Africa,20,0.9,NA,FALSE,FALSE,FALSE,FALSE,Mali,low,0
